sourcetype,PROFILE_CODE,Classification,Flow_Type
dbx:CerillionBahamasOracle,B26P,New,WorkOrder_Flow
dbx:CerillionBahamasOracle,B26R,Recover,WorkOrder_Flow
dbx:CerillionBahamasOracle,CN1P,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,F26P,New,WorkOrder_Flow
dbx:CerillionBahamasOracle,F26R,Recover,WorkOrder_Flow
dbx:CerillionBahamasOracle,TV07,Recover,WorkOrder_Flow
dbx:CerillionBahamasOracle,GM01,New,WorkOrder_Flow
dbx:CerillionBahamasOracle,GM02,New,WorkOrder_Flow
dbx:CerillionBahamasOracle,GM03,New,WorkOrder_Flow
dbx:CerillionBahamasOracle,GM04,New,WorkOrder_Flow
dbx:CerillionBahamasOracle,GM15,Recover,WorkOrder_Flow
dbx:CerillionBahamasOracle,GM20,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,G20R,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,G20P,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,GM21,Move,WorkOrder_Flow
dbx:CerillionBahamasOracle,G21R,Move,WorkOrder_Flow
dbx:CerillionBahamasOracle,G21P,Move,WorkOrder_Flow
dbx:CerillionBahamasOracle,GM22,Move,WorkOrder_Flow
dbx:CerillionBahamasOracle,G22R,Move,WorkOrder_Flow
dbx:CerillionBahamasOracle,G22P,Move,WorkOrder_Flow
dbx:CerillionBahamasOracle,GM31,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,G31R,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,G31P,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,GM32,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,G32R,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,G32P,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,113,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,114,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,115,Change,WorkOrder_Flow
