OrderStatus,STATUS_CD,sourcetype
Available,AV,dbx:CerillionBahamasOracle
canceled,CA,dbx:CerillionBahamasOracle
completed,CO,dbx:CerillionBahamasOracle
current,CU,dbx:CerillionBahamasOracle
held,HE,dbx:CerillionBahamasOracle
pending,PE,dbx:CerillionBahamasOracle
dead,DE,dbx:CerillionBahamasOracle
Available,AV,dbx:CerillionBarbadosOracle
canceled,CA,dbx:CerillionBarbadosOracle
completed,CO,dbx:CerillionBarbadosOracle
current,CU,dbx:CerillionBarbadosOracle
held,HE,dbx:CerillionBarbadosOracle
pending,PE,dbx:CerillionBarbadosOracle
dead,DE,dbx:CerillionBarbadosOracle
Available,AV,dbx:CerillionJamaicaOracle
canceled,CA,dbx:CerillionJamaicaOracle
completed,CO,dbx:CerillionJamaicaOracle
current,CU,dbx:CerillionJamaicaOracle
held,HE,dbx:CerillionJamaicaOracle
pending,PE,dbx:CerillionJamaicaOracle
dead,DE,dbx:CerillionJamaicaOracle
