hostName,queueName
cursmp01,"JMS: WF_SVR1 JEA-JMS Queue Pending for jea.sbjeacomversengvm.error"
cursmp01,"JMS: SMP1_SVR SMP-JMS Queue Pending for Queue jnotify.AgentQueue"
cursmp01,"JMS: WF_SVR1 JEA-JMS Queue Pending for jea.sbjeacerillionisubscribe.backup"
cursmp02,"JMS: WF_SVR2 JEA-JMS Queue Pending for jea.sbjeaconsumableresources.error"
cursmp01,"JMS: SMP1_SVR SMP-JMS Queue Pending for Queue samp.ordermgr.XmlResponseQueue_Bahamas"
cursmp02,"JMS: SMP2_SVR SMP-JMS Queue Pending for Queue samp.ordermgr.XmlResponseQueue_Trinidad"
cursmp02,"JMS: WF_SVR2 JEA-JMS Queue Pending for jea.sbjeamotoroladacCU.error"
cursmp02,"JMS: WF_SVR2 JEA-JMS Queue Pending for jea.sbjeacerillionnotify.error"
cursmp01,"JMS: WF_SVR1 JEA-JMS Queue Pending for jea.sbjeacomversengvm.backup"
cursmp01,"JMS: WF_SVR1 JEA-JMS Queue Pending for jea.sbjeacerillionnotify.backup"
cursmp01,"JMS: WF_SVR1 JEA-JMS Queue Pending for jea.sbjeacomversengvm.request"
cursmp01,"JMS: SMP1_SVR SMP-JMS Queue Pending for Queue samp.ath.ReplyQueue"
cursmp02,"JMS: WF_SVR2 JEA-JMS Queue Pending for jea.sbjeamotoroladacJM.error"
cursmp01,"JMS: SMP1_SVR SMP-JMS Queue Pending for Queue samp.ordermgr.WfRetryQueue"
cursmp02,"JMS: SMP2_SVR SMP-JMS Queue Pending for Queue samp.ordermgr.OrderErrorQueue"
cursmp01,"JMS: WF_SVR1 JEA-JMS Queue Pending for jea.sbjeamotoroladacGR.backup"
cursmp02,"JMS: WF_SVR2 JEA-JMS Queue Pending for jea.sbjeaconaxcontego.error"
cursmp02,"JMS: WF_SVR2 JEA-JMS Queue Pending for jea.sbjeasurgemailldap.error"
cursmp01,"JMS: WF_SVR1 JEA-JMS Queue Pending for jea.sbjeamotoroladacTR.request"
cursmp02,"JMS: WF_SVR2 JEA-JMS Queue Pending for jea.sbjeamotoroladacGR.request"
cursmp02,"JMS: WF_SVR2 JEA-JMS Queue Pending for jea.sbjeaseachange.error"
cursmp01,"JMS: WF_SVR1 JEA-JMS Queue Pending for jea.sbjeamotorolaacc4000.request"
cursmp02,"JMS: WF_SVR2 JEA-JMS Queue Pending for jea.sbjeaconsumableresources.backup"
cursmp01,"JMS: SMP1_SVR SMP-JMS Queue Pending for Queue samp.ispp.ReplyQueue"
cursmp02,"JMS: WF_SVR2 JEA-JMS Queue Pending for jea.sbjeacomversengvm.request"
cursmp01,"JMS: WF_SVR1 JEA-JMS Queue Pending for jea.sbjeamotoroladacJM.request"
cursmp02,"JMS: WF_SVR2 JEA-JMS Queue Pending for jea.sbjeamiddleware.error"
cursmp01,"JMS: WF_SVR1 JEA-JMS Queue Pending for jea.sbjeaconaxcontego.error"
cursmp01,"JMS: WF_SVR1 JEA-JMS Queue Pending for jea.sbjeasqlbillingnotification.error"
cursmp01,"JMS: SMP1_SVR SMP-JMS Queue Pending for Queue samp.ordermgr.XmlResponseQueue_Jamaica"
cursmp01,"JMS: WF_SVR1 JEA-JMS Queue Pending for jea.sbjeasurgemailldap.backup"
cursmp02,"JMS: WF_SVR2 JEA-JMS Queue Pending for jea.sbjeamotoroladacTR.backup"
cursmp02,"JMS: WF_SVR2 JEA-JMS Queue Pending for jea.sbjeasqlbillingnotification.request"
cursmp02,"JMS: WF_SVR2 JEA-JMS Queue Pending for jea.sbjeasigmadpm10.request"
cursmp01,"JMS: SMP1_SVR SMP-JMS Queue Pending for Queue samp.ordermgr.XmlResponseQueue_Barbados"
cursmp02,"JMS: SMP2_SVR SMP-JMS Queue Pending for Queue samp.stm.ExternalSyncErrorQueue"
cursmp01,"JMS: SMP1_SVR SMP-JMS Queue Pending for Queue samp.stm.SSNBatchQueue"
cursmp02,"JMS: SMP2_SVR SMP-JMS Queue Pending for Queue samp.ordermgr.XmlResponseQueue_Bahamas"
